SurveilancePlace,Department,MonitorDate,Rate_Wave
YS,Suburb,20121103,1.49
YS,Suburb,20121104,1.5
YS,Suburb,20121105,1.68
YS,Suburb,20121106,1.63
YS,Suburb,20121107,1.8
YS,Suburb,20121108,1.27
YS,Suburb,20121109,1.67
YS,Suburb,20121110,1.6
YS,Suburb,20121111,1.52
YS,Suburb,20121112,1.53
YS,Suburb,20121113,1.61
YS,Suburb,20121114,1.6
YS,Suburb,20121115,3.53
YS,Suburb,20121116,1.58
YS,Suburb,20121117,1.72
YS,Suburb,20121118,1.5
YS,Suburb,20121119,1.4
YS,Suburb,20121120,1.47
YS,Suburb,20121121,1.71
YS,Suburb,20121122,1.47
YS,Suburb,20121123,2.13
YS,Suburb,20121124,1.52
YS,Suburb,20121125,1.7
YS,Suburb,20121126,1.46
YS,Suburb,20121127,1.35
YS,Suburb,20121128,1.77
YS,Suburb,20121129,1.38
YS,Suburb,20121130,2.95
YS,Suburb,20121201,1.83
YS,Suburb,20121202,1.82
YS,Suburb,20121203,1.85
YS,Suburb,20121204,1.55
YS,Suburb,20121205,1.65
YS,Suburb,20121206,4.24
YS,Suburb,20121207,1.88
YS,Suburb,20121208,1.68
YS,Suburb,20121209,1.4
YS,Suburb,20121210,1.51
YS,Suburb,20121211,1.45
YS,Suburb,20121212,1.41
YS,Suburb,20121213,1.89
YS,Suburb,20121214,2
YS,Suburb,20121215,1.75
YS,Suburb,20121216,1.44
YS,Suburb,20121217,1.44
YS,Suburb,20121218,1.33
YS,Suburb,20121219,1.34
YS,Suburb,20121220,2.1
YS,Suburb,20121221,1.64
YS,Suburb,20121222,3.34
YS,Suburb,20121223,1.84
YS,Suburb,20121224,1.96
YS,Suburb,20121225,1.61
YS,Suburb,20121226,1.8
YS,Suburb,20121227,1.96
YS,Suburb,20121228,1.91
YS,Suburb,20121229,1.56
YS,Suburb,20121230,1.69
YS,Suburb,20121231,1.91
YS,Suburb,20130101,1.74
YS,Suburb,20130102,1.77
YS,Suburb,20130103,1.94
YS,Suburb,20130104,2.04
YS,Suburb,20130105,2.05
YS,Suburb,20130106,1.88
YS,Suburb,20130107,1.99
YS,Suburb,20130108,1.99
YS,Suburb,20130109,1.87
YS,Suburb,20130110,1.27
YS,Suburb,20130111,1.85
YS,Suburb,20130112,1.81
YS,Suburb,20130113,2.32
YS,Suburb,20130114,3.03
YS,Suburb,20130115,1.87
YS,Suburb,20130116,1.93
YS,Suburb,20130117,1.86
