PART,CAP1     ,DF1   ,ESR     ,LEAK     
154,310.6393,1.96,0.01879,7.6032
155,308.2558,2.05,0.01938,7.0912
156,311.2515,1.91,0.01837,4.8174
157,303.6528,2.15,0.01829,7.1018
158,321.0603,2,0.01961,22.6345
159,312.387,1.99,0.01881,6.3552
160,324.5081,1.92,0.01821,7.5495
161,317.555,2.22,0.01962,12.4866
162,326.4884,1.91,0.01825,11.4209
163,313.3328,2.34,0.02018,14.0644
164,301.8111,2.13,0.02113,20.526
165,305.6861,2.09,0.01941,10.9339
166,317.4655,2.15,0.01949,22.4404
167,309.8755,2.31,0.02109,25.0182
168,304.246,2.09,0.02375,19.8296
169,307.1845,1.96,0.02007,18.0212
170,303.5135,2.1,0.02001,13.3283
171,305.3404,2.09,0.0198,11.1131
172,309.771,2.15,0.02041,22.572
173,297.6545,2.15,0.02079,12.7842
174,311.0239,2.16,0.01993,30.5966
175,307.2633,2.16,0.02248,16.5166
176,312.8675,2.03,0.02163,11.2011
177,295.5868,2.04,0.02174,14.1715
178,306.4428,2.22,0.02288,13.9416
179,301.5841,2.08,0.02128,105.5686
180,300.74,2.28,0.02216,23.5353
181,301.3156,2.08,0.01983,24.4533
182,320.7768,2.09,0.01969,20.9088
183,306.0369,1.97,0.0199,9.6095
184,304.9779,2.09,0.01952,16.4845
185,308.8653,2.03,0.02078,10.7839
186,307.1646,1.87,0.01926,14.1482
187,317.4088,2.18,0.01955,24.0388
188,316.4412,2.17,0.02012,21.8919
189,312.9549,2.05,0.01909,32.633
190,310.0614,2.02,0.01882,16.2318
191,302.1601,2.08,0.01885,12.8807
192,305.1404,2.09,0.02081,14.3314
193,302.8225,2.14,0.02092,11.0785
194,305.3817,2.13,0.01985,17.4607
195,303.5651,2.32,0.02194,13.8
196,295.199,2.32,0.02049,10.4403
197,300.5443,2.33,0.02246,12.5372
198,307.223,2,0.01942,11.6645
199,303.9992,2.32,0.02017,202.0709
200,318.2687,2.03,0.02023,18.3796
